# Auto-generated by generate_port_tracking.py
# Format: Kind | SourcePath | MappedPath | Status | Notes
Source | Source/GameClient/MessageStream/CommandXlat.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/MessageStream/GUICommandTranslator.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/MessageStream/HintSpy.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/MessageStream/HotKey.cpp | GameEngineDevice/src/input/hotkey.rs | FOUND_BY_BASENAME | subsystem=GameClient
Source | Source/GameClient/MessageStream/LookAtXlat.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/MessageStream/MetaEvent.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/MessageStream/PlaceEventTranslator.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/MessageStream/SelectionXlat.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/MessageStream/WindowXlat.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/ParabolicEase.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/RadiusDecal.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/SelectionInfo.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/Snow.cpp | GameClient/src/snow.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/Statistics.cpp | GameClient/src/statistics.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/System/Anim2D.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/System/CampaignManager.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/System/Debug Displayers/AudioDebugDisplay.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/System/DebugDisplay.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/System/Image.cpp | GameClient/src/display/image.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/System/ParticleSys.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/System/RayEffect.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/System/Smudge.cpp | GameClient/src/system/smudge.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/Terrain/TerrainRoads.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/Terrain/TerrainVisual.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/VideoPlayer.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/VideoStream.cpp | - | MISSING | subsystem=GameClient
Source | Source/GameClient/View.cpp | GameClient/src/view.rs | FOUND | subsystem=GameClient
Source | Source/GameClient/Water.cpp | GameClient/src/water.rs | FOUND | subsystem=GameClient
Source | Source/GameLogic/AI/AI.cpp | GameLogic/src/ai/ai.rs | FOUND | subsystem=GameLogic
Source | Source/GameLogic/AI/AIDock.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/AI/AIGroup.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/AI/AIGuard.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/AI/AIGuardRetaliate.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/AI/AIPathfind.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/AI/AIPlayer.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/AI/AISkirmishPlayer.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/AI/AIStates.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/AI/AITNGuard.cpp | - | MISSING | subsystem=GameLogic
Source | Source/GameLogic/AI/Squad.cpp | GameLogic/src/squad.rs | FOUND | subsystem=GameLogic
